Radius (m),Diameter_DBH (cm),Height (m),Num_Points
0.0785,15.70,30.52,167
0.0783,15.67,37.14,86
0.0765,15.31,31.98,87
0.0765,15.30,46.60,87
0.0762,15.25,60.13,113
0.0759,15.19,29.20,115
0.0752,15.04,33.43,109
0.0750,14.99,48.51,112
0.0746,14.93,39.36,100
0.0743,14.85,46.40,99
0.0737,14.74,42.44,63
0.0732,14.65,31.83,119
0.0731,14.61,65.75,121
0.0720,14.40,31.71,53
0.0717,14.33,28.84,63
0.0716,14.32,59.68,127
0.0715,14.31,59.57,187
0.0712,14.23,37.55,122
0.0710,14.20,34.40,115
0.0709,14.18,61.39,65
0.0706,14.12,54.03,221
0.0704,14.09,60.15,144
0.0703,14.05,14.75,76
0.0699,13.99,36.13,62
0.0698,13.96,49.13,156
0.0694,13.87,64.78,51
0.0692,13.85,63.79,51
0.0685,13.70,65.91,127
0.0685,13.70,43.17,146
0.0683,13.66,29.82,72
0.0678,13.56,56.98,80
0.0678,13.56,35.79,115
0.0675,13.49,55.15,74
0.0668,13.35,38.08,72
0.0667,13.34,60.95,124
0.0664,13.29,60.50,97
0.0664,13.27,24.41,78
0.0664,13.27,55.11,143
0.0662,13.25,21.89,52
0.0662,13.23,54.62,69
0.0659,13.18,66.95,56
0.0655,13.10,29.63,109
0.0655,13.10,39.51,83
0.0651,13.01,36.12,99
0.0647,12.93,49.68,54
0.0643,12.86,25.52,85
0.0638,12.77,64.13,63
0.0634,12.68,74.06,98
0.0632,12.64,42.64,69
0.0628,12.55,31.02,76
0.0624,12.48,52.11,176
0.0619,12.37,44.18,138
0.0606,12.13,44.12,131
0.0599,11.99,44.45,61
0.0584,11.69,33.65,80
0.0583,11.66,46.71,68
0.0581,11.62,48.99,105
0.0554,11.07,5.57,68
0.0535,10.70,62.16,86
0.0533,10.66,35.35,145
0.0526,10.52,27.13,123
